Date,SPY,BRK-B,UNH,JPM,XOM,AVGO,META,TSLA,LLY,V,MA,MSFT,AAPL,AMZN,NVDA,GOOGL,TRGP,PTC,DECK,ATO,BLDR,SHV,TLT,USO,IAU,MTUM
2020-04-01 00:00:00-04:00,189554600,8682700,4548800,28029600,36045900,41858000,19507600,200298000,3297900,12595200,6646200,57969900,176218400,82438000,656912000,51970000,7578000,1506800,2845800,999500,1885900,3248700,11334700,14878650,13186100,1007300
2020-04-02 00:00:00-04:00,177660400,7271900,4636800,24018000,62000200,45049000,20886300,297876000,4725000,14051100,6446600,49630700,165934000,86720000,675764000,56410000,8426900,1216100,2123400,565400,1674200,3073100,5771200,40226725,9879500,671800
2020-04-03 00:00:00-04:00,135561200,6643700,4650300,21199400,48425700,28960000,25983300,338431500,4013200,11994700,4163000,41243300,129880000,72198000,663212000,51374000,6516500,744800,2179800,684200,1638300,7686900,6570800,28238825,9570250,896000
2020-04-06 00:00:00-04:00,188061200,9935500,6365900,26820800,41301900,38868000,28453600,223527000,4159900,16479100,8636700,67111700,201820400,115464000,727884000,63320000,6954400,946800,3002400,794900,1616100,3622300,9434800,20350275,12516750,1619900
2020-04-07 00:00:00-04:00,201427200,8148200,4984100,22563800,48921800,45892000,31411900,268797000,3900600,15379000,8627300,62769000,202887200,102280000,784520000,61620000,8605600,834700,2720400,1085000,2022200,4794600,13811400,23432475,13758350,1228200
2020-04-08 00:00:00-04:00,153774500,6109900,6390200,22903300,33355600,27565000,21664200,189840000,4006600,11146500,5690100,48318200,168895200,79546000,542444000,40334000,8020300,571500,1794000,822000,1755800,4077900,10147100,21113950,5854550,1357900
2020-04-09 00:00:00-04:00,189999200,10519600,4923300,42055900,60107300,34828000,23534300,204750000,4415300,12231800,6662900,51385100,161834800,92930000,525564000,54028000,8643400,884000,2538000,1263800,1930900,6619900,14259100,37976150,11129300,1222800
2020-04-13 00:00:00-04:00,114839100,7888600,2964900,26911900,29651900,25729000,19355400,337131000,2289000,14043700,7114400,41905300,131022800,134334000,398408000,38702000,6772800,375200,1960200,639700,1056500,3846400,8750300,15693888,25360900,1003500
2020-04-14 00:00:00-04:00,134143400,7032000,4778900,46151300,30769000,23094000,21011800,458647500,3809600,9980500,6354400,52874300,194994800,161744000,530948000,63358000,5382100,588600,1260600,791100,1102400,4071600,9019100,23984000,14653900,1074500
2020-04-15 00:00:00-04:00,121775000,6138300,7841800,30118600,33125000,25926000,17423000,353655000,3614400,12118700,10240700,40940800,131154400,137332000,366148000,42236000,4751600,1382800,2709600,819500,1211500,3060600,10027800,27402750,10986550,1027800
2020-04-16 00:00:00-04:00,131798300,6228200,7738900,32449600,30934000,26896000,23593200,309868500,3512900,20308200,11455400,50479600,157125200,240764000,745620000,57896000,3675000,1205300,1548600,622000,1410500,2522900,8265400,30161238,7528150,722600
2020-04-17 00:00:00-04:00,146684800,8272200,5857500,30191900,40829100,34089000,20974800,196923000,3709900,15375800,10412100,52765600,215250000,158600000,539120000,51050000,9190200,768500,2193000,1061100,1304300,3502300,8612100,31270575,9111750,1062900
2020-04-20 00:00:00-04:00,100109300,6474700,4072600,23679400,39260800,23801000,16110700,221199000,2562200,10505200,6042700,36669600,130015200,115414000,449388000,35292000,8343100,532200,1593600,764800,1105600,3635400,6462600,109403825,8670250,887600
2020-04-21 00:00:00-04:00,126385700,5882500,3977500,23035000,44381600,29138000,24850500,303136500,4270200,10562100,5964600,56203700,180991600,149534000,735160000,49648000,8309100,515100,2233800,575000,1096900,3609200,7850700,124913013,9851100,741100
2020-04-22 00:00:00-04:00,92951600,5470000,3663300,16662400,27074200,35438000,33242000,212482500,3278000,14502500,5083200,34620200,116862400,84244000,483356000,46296000,7614400,482300,2710200,514300,971400,1727100,6230200,54487213,8758450,748300
2020-04-23 00:00:00-04:00,104709700,6211900,4420500,16638800,35271000,21659000,21426600,198550500,5692900,11411300,4270600,32790800,124814400,101332000,424160000,34202000,7322000,792700,2124600,875200,717900,1898600,5968600,39783688,8297550,708500
2020-04-24 00:00:00-04:00,85063200,5205500,3265000,15809200,28653800,23373000,28792000,198180000,4414000,8391400,3824200,34277600,126161200,76498000,352328000,37402000,6222700,596500,2445600,881800,1062900,2347000,6211800,22760050,10785250,635200
2020-04-27 00:00:00-04:00,77896600,6622400,3706200,22870200,28274400,16588000,29197800,310221000,3210300,9903300,4099900,33194400,117087600,112912000,479388000,44186000,5171300,468800,3025200,730500,1193100,2707200,9039500,33885000,6813800,860800
2020-04-28 00:00:00-04:00,105270000,6674600,3862900,20238900,26545100,18988000,21731000,228330000,3270200,8614400,4344000,34392700,112004800,105388000,442904000,80700000,5994000,1070600,1729200,917400,2364600,2542300,9905400,19476850,7688400,1415200
2020-04-29 00:00:00-04:00,118745600,7645000,4258400,20462600,29502500,28871000,45954500,243240000,3240700,12862800,8505000,51286600,137280800,91832000,379160000,108358000,5356300,1553000,1780800,735300,2178300,2249100,8619600,23378600,9120550,1028800
2020-04-30 00:00:00-04:00,122901700,8217800,7631700,19127600,37076300,23379000,46230100,427078500,4175800,11331600,5898900,53875900,183064000,190692000,375916000,55842000,6994600,2280200,2014200,1322200,2819000,5988600,11606100,24001300,11077450,958600
2020-05-01 00:00:00-04:00,125180000,7513700,3526100,18547700,35399300,26836000,30415600,487977000,2576400,10109600,5067800,39370500,240616800,195452000,342096000,48872000,4932200,1017500,1801800,626700,1681300,3621400,10209400,13831100,10542850,1656900
2020-05-04 00:00:00-04:00,80873200,9448600,2894200,15725900,27465600,17046000,19250700,288556500,2228500,9386200,3747100,30372900,133568000,97318000,317556000,30806000,4565200,859100,3001800,885300,1182000,1928600,8300900,14044800,8594800,861200
2020-05-05 00:00:00-04:00,79569900,9016300,2501300,18064100,29276200,26462000,21071200,254875500,2862600,13513000,3926200,36839200,147751200,64850000,368896000,39666000,4276400,961700,2443200,952800,1146000,1857400,7831800,20954800,11166500,749700
